ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	List3	List3.Cycle	List3.Sample	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	List2	List2.Cycle	List2.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide5.ACC	Slide5.CRESP	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList1	NumberList1.Cycle	NumberList1.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList1	ShapeList1.Cycle	ShapeList1.Sample	Stimulus.ACC	Stimulus.CRESP	Stimulus.DurationError	Stimulus.OnsetDelay	Stimulus.OnsetTime	Stimulus.OnsetToOnsetTime	Stimulus.RESP	Stimulus.RT	TrialType
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	z	0		0	23	92743	0		0	0							1	1	1	PracticeTrialProc	PracticeList	1	z	0	0	91192	0	z	1527																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	c	0		0	11	96429	0		0	0							2	1	2	PracticeTrialProc	PracticeList	1	c	0	0	95295	0	c	1120																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	x	0		0	22	100616	0		0	0							3	1	3	PracticeTrialProc	PracticeList	1	x	0	0	98981	0	x	1610																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	v	0		0	11	104602	0		0	0							4	1	4	PracticeTrialProc	PracticeList	0	v	0	1	103168	0	z	1422																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	數目	x	0		0	19	109556	0		0	0							5	1	5	PracticeTrialProc	PracticeList	1	x	0	1	107154	0	x	2380																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	1	1	1	1				Practicebloc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	數目	z	0		0	16	113842	0		0	0							6	1	6	PracticeTrialProc	PracticeList	1	z	0	1	112108	0	z	1714																																						
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									1	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greenstar4.png				5	1	1	z	1							0	TrialProc	ColorList2							0	z	0	1	175621	0	x	1702	color
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									2	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	redstar4.png				8	1	2	c	1							0	TrialProc	ColorList2							0	c	0	1	179857	0	x	1321	color
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									3	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	bluestar3.png				2	1	3	v	1							0	TrialProc	ColorList2							0	v	0	1	183710	0	c	972	color
Wisconsin	1173	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929843</Frequency><Timestamp dt:dt="r8">52105977072</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:37:03Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1173-1	59.956	1.0.0.543	1	566957495	Professional	2.0.10.356	2.0.10.356	12-03-2022	12/3/2022 6:37:04 AM	14:37:04	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				1	1	1				ColorProc2	List4									4	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	yellowcircle2.png				9	1	4	x	1							0	TrialProc	ColorList2							0	x	0	0	187212	0	z	1070	color
