ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,List3,List3.Cycle,List3.Sample,Procedure[Block],Running[Block],Trial,CardIMG1[Trial],CardIMG2[Trial],CardIMG3[Trial],CardIMG4[Trial],CardStim[Trial],Category,CorrectAnswer[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,FeedbackDisplay2.RTTime,List2,List2.Cycle,List2.Sample,List4,List4.Cycle,List4.Sample,PracticeList,PracticeList.Cycle,PracticeList.Sample,Procedure[Trial],Running[Trial],Slide5.ACC,Slide5.CRESP,Slide5.DurationError,Slide5.OnsetDelay,Slide5.OnsetTime,Slide5.OnsetToOnsetTime,Slide5.RESP,Slide5.RT,SubTrial,CardIMG1[SubTrial],CardIMG2[SubTrial],CardIMG3[SubTrial],CardIMG4[SubTrial],CardStim[SubTrial],ColorList,ColorList.Cycle,ColorList.Sample,ColorList2,ColorList2.Cycle,ColorList2.Sample,CorrectAnswer[SubTrial],NonPerseverativeError,NumberList,NumberList.Cycle,NumberList.Sample,NumberList1,NumberList1.Cycle,NumberList1.Sample,PerseverativeError,Procedure[SubTrial],Running[SubTrial],ShapeList,ShapeList.Cycle,ShapeList.Sample,ShapeList1,ShapeList1.Cycle,ShapeList1.Sample,Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,TrialType
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,1,Button1.png,Button2.png,Button3.png,Button4.png,Greencircle3.png,顏色,z,0.0,,0.0,24.0,90714.0,0.0,,0.0,0.0,,,,,,,1.0,1.0,1.0,PracticeTrialProc,PracticeList,1.0,z,0.0,1.0,88146.0,0.0,z,2543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,2,Button1.png,Button2.png,Button3.png,Button4.png,Redstar2.png,顏色,c,0.0,,0.0,17.0,94867.0,0.0,,0.0,0.0,,,,,,,2.0,1.0,2.0,PracticeTrialProc,PracticeList,1.0,c,0.0,1.0,93266.0,0.0,c,1583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,3,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle1.png,形狀,x,0.0,,0.0,22.0,98503.0,0.0,,0.0,0.0,,,,,,,3.0,1.0,3.0,PracticeTrialProc,PracticeList,1.0,x,0.0,1.0,97419.0,0.0,x,1061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,4,Button1.png,Button2.png,Button3.png,Button4.png,greenstar2.png,形狀,v,0.0,,0.0,17.0,103057.0,0.0,,0.0,0.0,,,,,,,4.0,1.0,4.0,PracticeTrialProc,PracticeList,1.0,v,0.0,1.0,101055.0,0.0,v,1985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,5,Button1.png,Button2.png,Button3.png,Button4.png,BlueCross4.png,數目,x,0.0,,0.0,21.0,106776.0,0.0,,0.0,0.0,,,,,,,5.0,1.0,5.0,PracticeTrialProc,PracticeList,1.0,x,1.0,0.0,105608.0,0.0,x,1144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,6,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle2.png,數目,z,0.0,,0.0,21.0,110295.0,0.0,,0.0,0.0,,,,,,,6.0,1.0,6.0,PracticeTrialProc,PracticeList,1.0,z,0.0,1.0,109328.0,0.0,z,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,2,,,,1.0,1.0,1.0,BlockProc,List3,1,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,ShapeProc,List2,,,,,,,,,1.0,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle3.png,,,,,,,z,0.0,,,,,,,0.0,TrialProc,ShapeList,8.0,1.0,1.0,,,,1.0,z,0.0,0.0,167770.0,0.0,z,2562.0,Shape
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,2,,,,1.0,1.0,1.0,BlockProc,List3,1,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,ShapeProc,List2,,,,,,,,,2.0,Button1.png,Button2.png,Button3.png,Button4.png,Greencross1.png,,,,,,,c,1.0,,,,,,,0.0,TrialProc,ShapeList,3.0,1.0,2.0,,,,0.0,c,0.0,1.0,172874.0,0.0,v,994.0,Shape
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,2,,,,1.0,1.0,1.0,BlockProc,List3,1,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,ShapeProc,List2,,,,,,,,,3.0,Button1.png,Button2.png,Button3.png,Button4.png,Bluecross4.png,,,,,,,c,1.0,,,,,,,0.0,TrialProc,ShapeList,2.0,1.0,3.0,,,,0.0,c,0.0,1.0,176410.0,0.0,v,1218.0,Shape
Wisconsin,1173,2,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929853</Frequency><Timestamp dt:dt=""r8"">54830326864</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2022-12-19T08:16:39Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1173-2,59.957,1.0.0.548,1,-1003693031,2.0.10.356,2.0.10.356,12-19-2022,12/19/2022 8:16:39 AM,16:16:39,2.0.10.252,2,,,,1.0,1.0,1.0,BlockProc,List3,1,,,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,ShapeProc,List2,,,,,,,,,4.0,Button1.png,Button2.png,Button3.png,Button4.png,Redtriangle1.png,,,,,,,x,1.0,,,,,,,0.0,TrialProc,ShapeList,7.0,1.0,4.0,,,,0.0,x,0.0,1.0,180163.0,0.0,c,1033.0,Shape
