ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,List3,List3.Cycle,List3.Sample,Procedure[Block],Running[Block],Trial,CardIMG1[Trial],CardIMG2[Trial],CardIMG3[Trial],CardIMG4[Trial],CardStim[Trial],Category,CorrectAnswer[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,FeedbackDisplay2.RTTime,List2,List2.Cycle,List2.Sample,List4,List4.Cycle,List4.Sample,PracticeList,PracticeList.Cycle,PracticeList.Sample,Procedure[Trial],Running[Trial],Slide5.ACC,Slide5.CRESP,Slide5.DurationError,Slide5.OnsetDelay,Slide5.OnsetTime,Slide5.OnsetToOnsetTime,Slide5.RESP,Slide5.RT,SubTrial,CardIMG1[SubTrial],CardIMG2[SubTrial],CardIMG3[SubTrial],CardIMG4[SubTrial],CardStim[SubTrial],ColorList,ColorList.Cycle,ColorList.Sample,ColorList2,ColorList2.Cycle,ColorList2.Sample,CorrectAnswer[SubTrial],NonPerseverativeError,NumberList,NumberList.Cycle,NumberList.Sample,NumberList1,NumberList1.Cycle,NumberList1.Sample,PerseverativeError,Procedure[SubTrial],Running[SubTrial],ShapeList,ShapeList.Cycle,ShapeList.Sample,ShapeList1,ShapeList1.Cycle,ShapeList1.Sample,Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,TrialType
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,1,Button1.png,Button2.png,Button3.png,Button4.png,Greencircle3.png,顏色,z,0.0,,0.0,20.0,27490.0,0.0,,0.0,0.0,,,,,,,1.0,1.0,1.0,PracticeTrialProc,PracticeList,1.0,z,0.0,1.0,24838.0,0.0,z,2632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,2,Button1.png,Button2.png,Button3.png,Button4.png,Redstar2.png,顏色,c,0.0,,0.0,25.0,33144.0,0.0,,0.0,0.0,,,,,,,2.0,1.0,2.0,PracticeTrialProc,PracticeList,0.0,c,0.0,1.0,30042.0,0.0,z,3075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,3,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle1.png,形狀,x,0.0,,0.0,11.0,37914.0,0.0,,0.0,0.0,,,,,,,3.0,1.0,3.0,PracticeTrialProc,PracticeList,1.0,x,0.0,1.0,35696.0,0.0,x,2205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,4,Button1.png,Button2.png,Button3.png,Button4.png,greenstar2.png,形狀,v,0.0,,0.0,24.0,41417.0,0.0,,0.0,0.0,,,,,,,4.0,1.0,4.0,PracticeTrialProc,PracticeList,1.0,v,0.0,1.0,40466.0,0.0,v,923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,5,Button1.png,Button2.png,Button3.png,Button4.png,BlueCross4.png,數目,x,0.0,,0.0,21.0,45603.0,0.0,,0.0,0.0,,,,,,,5.0,1.0,5.0,PracticeTrialProc,PracticeList,1.0,x,0.0,1.0,43969.0,0.0,x,1612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,1,1.0,1.0,1.0,,,,Practicebloc,List1,6,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle2.png,數目,z,0.0,,0.0,24.0,48822.0,0.0,,0.0,0.0,,,,,,,6.0,1.0,6.0,PracticeTrialProc,PracticeList,1.0,z,0.0,1.0,48155.0,0.0,z,642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,NumberProc2,List4,,,,,,,,,1.0,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle4.png,,,,,,,x,0.0,,,,3.0,1.0,1.0,0.0,TrialProc,NumberList1,,,,,,,1.0,x,0.0,1.0,206871.0,0.0,x,941.0,number
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,NumberProc2,List4,,,,,,,,,2.0,Button1.png,Button2.png,Button3.png,Button4.png,Greencross2.png,,,,,,,z,0.0,,,,4.0,1.0,2.0,0.0,TrialProc,NumberList1,,,,,,,1.0,z,0.0,1.0,210357.0,0.0,z,1279.0,number
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,NumberProc2,List4,,,,,,,,,3.0,Button1.png,Button2.png,Button3.png,Button4.png,Yellowtriangle2.png,,,,,,,z,0.0,,,,10.0,1.0,3.0,0.0,TrialProc,NumberList1,,,,,,,1.0,z,0.0,1.0,214176.0,0.0,z,996.0,number
Wisconsin,1160,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">2929843</Frequency><Timestamp dt:dt=""r8"">18156006879</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-11T03:11:32Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1160-4,59.956,1.0.0.562,1,976696428,2.0.10.356,2.0.10.356,02-11-2023,2/11/2023 3:11:33 AM,11:11:33,2.0.10.252,2,,,,2.0,1.0,1.0,BlockProc2,List3,1,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,NumberProc2,List4,,,,,,,,,4.0,Button1.png,Button2.png,Button3.png,Button4.png,Yellowcross2.png,,,,,,,z,0.0,,,,9.0,1.0,4.0,0.0,TrialProc,NumberList1,,,,,,,1.0,z,0.0,1.0,217712.0,0.0,z,1476.0,number
